playerid,Name,pr,adp,R,HR,RBI,RC,AVG,OPS,IP,SO,QS,ERA,WHIP,SVHD,Year
11442,Gary Sanchez,2.404037877,145,0.3810288729,1.300948014,0.8790203155,0.276542993,-1.173107974,0.7396056552,,,,,,,2021
5452,Ji-Man Choi,2.398259043,325,0.3810288729,0.3902235269,0.4468763867,0.5209237167,-0.04666017437,0.7058667138,,,,,,,2021
5254,Robbie Grossman,2.326546106,#N/A,0.680181478,-0.003043865264,0.3193585061,0.6759029467,0.2884813197,0.3656657212,,,,,,,2021
7802,Miguel Rojas,2.320094735,#N/A,0.548846188,-0.3135181222,0.3972860998,0.6253385254,1.219429914,-0.1572878706,,,,,,,2021
8623,Donovan Solano,2.316935935,#N/A,0.3810288729,-0.4791043926,0.3760331197,0.5301682929,1.694213698,-0.1854036551,,,,,,,2021
20078,Evan White,2.269719777,#N/A,0.789627553,1.073266892,1.013622523,0.6285034051,-0.8193475079,-0.4159530881,,,,,,,2021
9774,Christian Vazquez,2.252182528,168,0.3737324679,0.2246372565,0.3335271595,0.3658600109,0.7911935608,0.1632320728,,,,,,,2021
12984,Jackie Bradley Jr.,2.242593074,262,0.796923958,0.6799995,0.6381532077,0.6139988241,-0.5400629295,0.05358051321,,,,,,,2021
10815,Jurickson Profar,2.14508731,318,0.483178543,0.2246372565,0.4681293668,0.4028414589,0.2512433759,0.3150573091,,,,,,,2021
15491,J.P. Crawford,2.135238779,#N/A,1.147151398,-0.02374214906,0.5602256139,0.8407414856,-0.10251709,-0.2866204793,,,,,,,2021
14225,Yasiel Puig,2.126118076,298,0.06728345788,0.3074303917,0.227262259,0.09043671088,0.5956943559,0.8380109009,,,,,,,2021
5760,Avisail Garcia,2.103781773,266,0.1913223429,0.1418441213,0.2768525459,0.2698002517,0.8470504765,0.376912035,,,,,,,2021
18036,Jake Cronenworth,1.965863192,235,0.483178543,-0.3756129736,0.2130936056,0.4420465144,1.014621223,0.1885362788,,,,,,,2021
12179,Maikel Franco,1.877737417,#N/A,0.03080143288,0.3488269593,0.4468763867,0.2098338011,0.4560520667,0.3853467704,,,,,,,2021
